nom_joueur,club,position,minutes_jouées,match_joués,buts,passes_décisives,distance_parcourue_(km),corner_tiré,hors_jeu,dribbles,total_tir,tir_cadré,tir_non_cadré,tir_bloqué,ballons_récupérés,tacles,tacles_réussi,tacles_loupé,joueur_éliminé,fautes_commmies,fautes_subies,carton_jaune,carton_rouge,%_passes_réussies,passes_tentées,passes_réussies,%_transversales_réussies,transversales_tentées,transversales_réussies,coup_franc_tirés,tirs_sauvés,buts_concédés,penalty_sauvé,cleansheets,but_du_pied_droit,but_du_pied_gauche,but_de_la_tête,but_autres_façons,but_intérieur_surface,but_dehors_surface,penaltys
Courtois,Real Madrid,Gardien,1230,13,0,0,64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.7,483.0,365.0,0.0,0.0,0.0,27.0,61.0,14.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vinícius Júnior,Real Madrid,Attaquant,1199,13,4,6,133.0,3.0,4.0,83.0,27.0,8.0,10.0,9.0,29.0,11.0,3.0,8.0,0.0,13.0,24.0,1.0,0.0,83.1,451.0,377.0,31.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0
Benzema,Real Madrid,Attaquant,1106,12,15,1,121.5,2.0,9.0,18.0,45.0,23.0,13.0,9.0,6.0,1.0,1.0,0.0,10.0,2.0,4.0,1.0,0.0,83.1,523.0,433.0,20.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,0.0,13.0,2.0,3.0
Modrić,Real Madrid,Milieu,1077,13,0,4,124.5,10.0,0.0,8.0,14.0,5.0,3.0,6.0,39.0,9.0,3.0,6.0,4.0,3.0,8.0,1.0,0.0,89.8,799.0,723.0,25.0,12.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Éder Militão,Real Madrid,Defenseur,1076,12,0,0,110.4,0.0,0.0,0.0,9.0,4.0,5.0,0.0,76.0,19.0,6.0,13.0,32.0,17.0,16.0,4.0,0.0,87.5,643.0,563.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaba,Real Madrid,Defenseur,1040,12,1,0,112.3,0.0,0.0,0.0,5.0,1.0,1.0,3.0,49.0,18.0,12.0,6.0,28.0,9.0,1.0,1.0,0.0,92.3,657.0,606.0,11.0,17.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Carvajal,Real Madrid,Defenseur,959,11,0,1,112.8,0.0,1.0,9.0,5.0,2.0,3.0,0.0,50.0,12.0,6.0,6.0,30.0,15.0,6.0,3.0,0.0,87.3,576.0,503.0,34.0,23.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casemiro,Real Madrid,Milieu,914,11,0,0,107.6,0.0,0.0,0.0,10.0,2.0,6.0,2.0,76.0,31.0,13.0,18.0,19.0,17.0,18.0,3.0,0.0,89.1,538.0,482.0,25.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kroos,Real Madrid,Milieu,902,12,2,0,116.5,0.0,0.0,0.0,12.0,7.0,1.0,4.0,37.0,11.0,5.0,6.0,4.0,7.0,18.0,0.0,0.0,91.9,814.0,752.0,20.0,34.0,7.0,44.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
Mendy,Real Madrid,Defenseur,867,10,0,2,96.3,0.0,0.0,8.0,2.0,0.0,2.0,0.0,36.0,6.0,5.0,1.0,15.0,7.0,7.0,3.0,0.0,91.1,413.0,376.0,25.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valverde,Real Madrid,Milieu,804,11,0,1,96.7,0.0,3.0,10.0,9.0,0.0,4.0,5.0,29.0,13.0,7.0,6.0,10.0,4.0,5.0,2.0,0.0,85.4,395.0,336.0,20.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nacho,Real Madrid,Defenseur,574,9,0,0,61.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0,10.0,4.0,6.0,14.0,7.0,7.0,2.0,0.0,91.0,304.0,283.0,16.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrygo,Real Madrid,Attaquant,505,11,5,2,65.7,1.0,1.0,20.0,23.0,10.0,7.0,6.0,14.0,2.0,1.0,1.0,3.0,5.0,11.0,1.0,0.0,77.6,209.0,183.0,38.0,13.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Vázquez,Real Madrid,Milieu,349,8,0,1,47.4,0.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,2.0,6.0,4.0,8.0,1.0,0.0,83.6,239.0,207.0,25.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camavinga,Real Madrid,Milieu,296,10,0,1,40.2,0.0,1.0,2.0,2.0,0.0,2.0,0.0,19.0,17.0,9.0,8.0,6.0,5.0,10.0,1.0,0.0,87.7,179.0,158.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asensio,Real Madrid,Attaquant,207,8,1,2,28.4,5.0,0.0,1.0,5.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,72.6,89.0,75.0,25.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Jović,Real Madrid,Attaquant,113,3,0,0,12.9,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,90.3,40.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo,Real Madrid,Defenseur,93,3,0,0,10.7,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,85.0,63.0,55.0,33.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E. Hazard,Real Madrid,Attaquant,84,3,0,0,10.8,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Gutiérrez,Real Madrid,Defenseur,66,1,0,0,7.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceballos,Real Madrid,Milieu,37,5,0,0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariano Díaz,Real Madrid,Attaquant,12,1,0,0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vallejo,Real Madrid,Defenseur,8,2,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bale,Real Madrid,Attaquant,7,2,0,0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blanco,Real Madrid,Milieu,6,1,0,0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alisson Becker,Liverpool,Gardien,1170,13,0,0,68.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.7,461.0,415.0,0.0,0.0,0.0,16.0,15.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
